category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,gene_set
Human Diseases,Endocrine and metabolic disease,mmu04933,AGE-RAGE signaling pathway in diabetic complications - Mus musculus (house mouse),11/260,85/5932,0.129411764705882,2.95257918552036,3.88180840708595,0.00110687520759318,0.0156710226759245,0.0130617406768613,12842/21809/13614/16452/14066/12843/94216/22341/17390/21808/18795,11,Upregulated advanced-passage signature
Human Diseases,Infectious disease: bacterial,mmu05150,Staphylococcus aureus infection - Mus musculus (house mouse),5/260,20/5932,0.25,5.70384615384615,4.51111002025375,0.00140284046820951,0.0188682042974179,0.0157265799857171,12628/50908/50909/317677/667277,5,Upregulated advanced-passage signature
Environmental Information Processing,Signal transduction,mmu04350,TGF-beta signaling pathway - Mus musculus (house mouse),11/260,89/5932,0.123595505617978,2.81987899740709,3.70341258501059,0.0016228679042568,0.0207881650592894,0.0173268603311628,15903/21809/12159/68010/55994/17130/21808/21825/14264/23893/434215,11,Upregulated advanced-passage signature
Organismal Systems,Immune system,mmu04610,Complement and coagulation cascades - Mus musculus (house mouse),7/260,42/5932,0.166666666666667,3.8025641025641,3.90216004378063,0.00207008987372468,0.0253115534559972,0.0210970881867635,12759/12628/14066/50908/50909/317677/667277,7,Upregulated advanced-passage signature
Human Diseases,Cardiovascular disease,mmu05410,Hypertrophic cardiomyopathy - Mus musculus (house mouse),10/260,79/5932,0.126582278481013,2.88802336903603,3.61671405581609,0.00218868528023736,0.0255981017558195,0.0213359251574626,12289/16000/21809/13614/18125/319480/21808/109700/12296/81904,10,Upregulated advanced-passage signature
Metabolism,Xenobiotics biodegradation and metabolism,mmu00982,Drug metabolism - cytochrome P450 - Mus musculus (house mouse),6/260,32/5932,0.1875,4.27788461538462,3.98038581793059,0.0023164708598331,0.0259637775539626,0.0216407146115987,14871/56615/55990/14261/11529/11522,6,Upregulated advanced-passage signature
Human Diseases,Infectious disease: viral,mmu05165,Human papillomavirus infection - Mus musculus (house mouse),22/260,275/5932,0.08,1.82523076923077,3.00006866578357,0.00429022343849982,0.0444116683842978,0.0370169648438874,12006/12833/12842/16775/12834/14368/22410/18596/14102/329278/16449/242341/12843/22419/94216/12845/319480/22417/21825/109700/14362/665033,22,Upregulated advanced-passage signature
Human Diseases,Endocrine and metabolic disease,mmu04934,Cushing syndrome - Mus musculus (house mouse),12/260,115/5932,0.104347826086957,2.38073578595318,3.20105026847204,0.0042925776133522,0.0444116683842978,0.0370169648438874,12006/12289/11622/12291/14368/22410/22419/22417/16492/14362/18795/14677,12,Upregulated advanced-passage signature
Metabolism,Xenobiotics biodegradation and metabolism,mmu00980,Metabolism of xenobiotics by cytochrome P450 - Mus musculus (house mouse),6/260,37/5932,0.162162162162162,3.6997920997921,3.52672668880151,0.00494785774444055,0.0490482102778724,0.0408815057295512,14871/56615/12409/13107/11529/11522,6,Upregulated advanced-passage signature
Organismal Systems,Endocrine system,mmu04926,Relaxin signaling pathway - Mus musculus (house mouse),11/260,103/5932,0.106796116504854,2.43659447348768,3.14875087359197,0.00516301464417972,0.0490482102778724,0.0408815057295512,12842/14706/13614/18125/12843/94216/22341/17390/14702/18795/14677,11,Upregulated advanced-passage signature
Human Diseases,Cancer: specific types,mmu05226,Gastric cancer - Mus musculus (house mouse),12/260,118/5932,0.101694915254237,2.32020860495437,3.10119142147383,0.00528772527159219,0.0490482102778724,0.0408815057295512,12006/218772/21809/14165/14368/22410/12557/22419/14183/22417/21808/14362,12,Upregulated advanced-passage signature
Organismal Systems,Nervous system,mmu04725,Cholinergic synapse - Mus musculus (house mouse),9/260,77/5932,0.116883116883117,2.66673326673327,3.15159600645339,0.00615742384263005,0.0534305488279834,0.0445341690485637,12289/14706/11423/16452/12286/16518/14702/18795/14677,9,Upregulated advanced-passage signature
Human Diseases,Infectious disease: parasitic,mmu05146,Amoebiasis - Mus musculus (house mouse),9/260,77/5932,0.116883116883117,2.66673326673327,3.15159600645339,0.00615742384263005,0.0534305488279834,0.0445341690485637,12842/16775/21809/24088/14825/12843/94216/21808/18795,9,Upregulated advanced-passage signature
Organismal Systems,Environmental adaptation,mmu04713,Circadian entrainment - Mus musculus (house mouse),8/260,64/5932,0.125,2.85192307692308,3.18896977341173,0.00643140160250274,0.0536528576717426,0.0447194626651582,12289/12291/14706/18125/14702/18795/20192/14677,8,Upregulated advanced-passage signature
Human Diseases,Cancer: overview,mmu05205,Proteoglycans in cancer - Mus musculus (house mouse),15/260,168/5932,0.0892857142857143,2.03708791208791,2.91938083070177,0.00658194908240708,0.0536528576717426,0.0447194626651582,12842/12389/16000/19206/14368/22410/14102/24088/12843/22419/17390/22417/21808/21825/14362,15,Upregulated advanced-passage signature
Organismal Systems,Digestive system,mmu04971,Gastric acid secretion - Mus musculus (house mouse),7/260,52/5932,0.134615384615385,3.07130177514793,3.21172913248038,0.00707548786677392,0.0543801781760624,0.0453256816728675,12349/213435/16518/18795/16517/14677/16516,7,Upregulated advanced-passage signature
Human Diseases,Immune disease,mmu05323,Rheumatoid arthritis - Mus musculus (house mouse),7/260,52/5932,0.134615384615385,3.07130177514793,3.21172913248038,0.00707548786677392,0.0543801781760624,0.0453256816728675,21809/24088/242341/14825/16168/21808/20315,7,Upregulated advanced-passage signature
Human Diseases,Cardiovascular disease,mmu05414,Dilated cardiomyopathy - Mus musculus (house mouse),9/260,80/5932,0.1125,2.56673076923077,3.02043665695084,0.00789957111258506,0.0590273508134828,0.0491990832450473,12289/16000/21809/18125/319480/21808/109700/12296/81904,9,Upregulated advanced-passage signature
Organismal Systems,Immune system,mmu04062,Chemokine signaling pathway - Mus musculus (house mouse),12/260,127/5932,0.0944881889763779,2.15578437310721,2.81877292671548,0.00941113462743553,0.0684214922913556,0.0570290661634073,14773/170758/14706/16452/14825/17329/277360/140580/14702/18795/14677/20315,12,Upregulated advanced-passage signature
Human Diseases,Infectious disease: parasitic,mmu05144,Malaria - Mus musculus (house mouse),5/260,32/5932,0.15625,3.56490384615385,3.1146022790642,0.0118658550372257,0.0839977632898342,0.0700118316600849,21809/24088/12845/21808/21825,5,Upregulated advanced-passage signature
Organismal Systems,Endocrine system,mmu04916,Melanogenesis - Mus musculus (house mouse),8/260,73/5932,0.10958904109589,2.50031612223393,2.76130883300826,0.0139411177764998,0.0961579662020117,0.0801473167717805,13614/14368/22410/22419/22417/14362/18795/14677,8,Upregulated advanced-passage signature
Human Diseases,Cancer: overview,mmu05207,Chemical carcinogenesis - receptor activation - Mus musculus (house mouse),12/260,135/5932,0.0888888888888889,2.02803418803419,2.58675511579504,0.0148699645665532,0.100000511710071,0.0833500645441011,14871/56615/12289/11622/14165/13850/22337/16452/16449/12286/11835/14677,12,Upregulated advanced-passage signature
,,mmu04519,Cadherin signaling - Mus musculus (house mouse),19/260,259/5932,0.0733590733590734,1.67371547371547,2.37357269543035,0.0183901130103751,0.12065708292173,0.100567241879587,12006/170758/14368/22410/18596/12557/22419/22417/233651/73173/14362/16470/93881/329628/20776/93882/211712/239096/100534287,19,Upregulated advanced-passage signature
Organismal Systems,Digestive system,mmu04970,Salivary secretion - Mus musculus (house mouse),6/260,49/5932,0.122448979591837,2.79372056514914,2.69920536291858,0.0192378888736084,0.12321409778573,0.102698504513248,11550/18125/64177/18795/20192/11722,6,Upregulated advanced-passage signature
Organismal Systems,Nervous system,mmu04724,Glutamatergic synapse - Mus musculus (house mouse),8/260,78/5932,0.102564102564103,2.34003944773176,2.55047487972503,0.0201798974917297,0.126241684308727,0.105221986921381,20512/12289/14706/12286/243961/14702/18795/14677,8,Upregulated advanced-passage signature
Human Diseases,Immune disease,mmu05321,Inflammatory bowel disease - Mus musculus (house mouse),5/260,37/5932,0.135135135135135,3.08316008316008,2.72122296486917,0.0215199728109486,0.131565288321482,0.109659191596461,21809/24088/19885/21808/209590,5,Upregulated advanced-passage signature
Organismal Systems,Nervous system,mmu04721,Synaptic vesicle cycle - Mus musculus (house mouse),6/260,52/5932,0.115384615384615,2.63254437869823,2.53139856492311,0.025133078438873,0.147341415532784,0.122808536523119,20512/242341/12286/20979/240332/20538,6,Upregulated advanced-passage signature
Environmental Information Processing,Signal transduction,mmu04392,Hippo signaling pathway - multiple species - Mus musculus (house mouse),4/260,26/5932,0.153846153846154,3.51005917159763,2.74603733223823,0.0251959297937103,0.147341415532784,0.122808536523119,215653/233651/329628/100534287,4,Upregulated advanced-passage signature
Environmental Information Processing,Signal transduction,mmu04390,Hippo signaling pathway - Mus musculus (house mouse),11/260,130/5932,0.0846153846153846,1.9305325443787,2.29666105245142,0.0267379530394711,0.153032114204632,0.127551713267801,12006/21809/72293/12159/14368/22410/22419/22417/21808/14362/14633,11,Upregulated advanced-passage signature
Organismal Systems,Nervous system,mmu04727,GABAergic synapse - Mus musculus (house mouse),6/260,54/5932,0.111111111111111,2.53504273504274,2.42596809263866,0.0296689024072606,0.166269473907356,0.138585004665494,12289/14706/12286/14702/14677/268860,6,Upregulated advanced-passage signature
Organismal Systems,Immune system,mmu04640,Hematopoietic cell lineage - Mus musculus (house mouse),5/260,41/5932,0.121951219512195,2.78236397748593,2.45175087049621,0.0321406268409058,0.173965967557616,0.145000004264419,12490/12516/16196/109700/12484,5,Upregulated advanced-passage signature
Environmental Information Processing,Signal transduction,mmu04015,Rap1 signaling pathway - Mus musculus (house mouse),13/260,168/5932,0.0773809523809524,1.76547619047619,2.15479950232548,0.0323356817021591,0.173965967557616,0.145000004264419,170758/16000/14165/18596/11602/18645/14183/22341/238130/21825/78134/18795/14677,13,Upregulated advanced-passage signature
Human Diseases,Immune disease,mmu05322,Systemic lupus erythematosus - Mus musculus (house mouse),5/260,43/5932,0.116279069767442,2.65295169946333,2.32892841062146,0.0384901239316582,0.202806896233359,0.169038813921759,50908/50909/317677/97114/667277,5,Upregulated advanced-passage signature
Environmental Information Processing,Signal transduction,mmu04014,Ras signaling pathway - Mus musculus (house mouse),13/260,173/5932,0.0751445086705202,1.71445086705202,2.04175865313096,0.0396251600466389,0.202806896233359,0.169038813921759,170758/16000/14706/14165/18596/15566/22637/11602/14183/18481/22341/14702/12064,13,Upregulated advanced-passage signature
Environmental Information Processing,Signal transduction,mmu04630,JAK-STAT signaling pathway - Mus musculus (house mouse),9/260,105/5932,0.0857142857142857,1.9556043956044,2.11510924812593,0.0399582360608478,0.202806896233359,0.169038813921759,18596/16452/16165/16168/16196/209590/16880/12983/12984,9,Upregulated advanced-passage signature
Human Diseases,Infectious disease: parasitic,mmu05143,African trypanosomiasis - Mus musculus (house mouse),3/260,18/5932,0.166666666666667,3.8025641025641,2.54937470433925,0.0417104078296322,0.205921326880591,0.171634680593097,16775/14102/18795,3,Upregulated advanced-passage signature
Organismal Systems,Development and regeneration,mmu04360,Axon guidance - Mus musculus (house mouse),12/260,157/5932,0.0764331210191083,1.74385105340519,2.02228490060956,0.0421028735257714,0.205921326880591,0.171634680593097,170758/19206/13844/13848/22419/18481/20563/20350/22417/14677/22253/20315,12,Upregulated advanced-passage signature
Organismal Systems,Nervous system,mmu04730,Long-term depression - Mus musculus (house mouse),5/260,45/5932,0.111111111111111,2.53504273504274,2.21290227097393,0.0455548474428466,0.218825963609388,0.18239064859636,16000/18125/12286/18795/14677,5,Upregulated advanced-passage signature
Organismal Systems,Circulatory system,mmu04270,Vascular smooth muscle contraction - Mus musculus (house mouse),8/260,93/5932,0.0860215053763441,1.96261373035567,2.00311929157639,0.0502884167585819,0.237326036983483,0.19781039278999,12289/13614/11550/230103/116903/213435/18795/58802,8,Upregulated advanced-passage signature
Human Diseases,Infectious disease: parasitic,mmu05140,Leishmaniasis - Mus musculus (house mouse),5/260,47/5932,0.106382978723404,2.42716857610475,2.10297202260134,0.0533439705639893,0.24070665988049,0.200628129737994,21809/16452/24088/21808/17972,5,Upregulated advanced-passage signature
