ensembl_gene_id,symbol,average_log2_expression,joint_F,joint_p_value,joint_fdr,average_post_log2FC,average_post_t,average_post_p_value,average_post_fdr,Middle_vs_Early_D1,Late_vs_Early_D1,Middle_vs_Early_D2,Late_vs_Early_D2,Middle_vs_Early_D6,Late_vs_Early_D6,mean_Middle_vs_Early_log2FC,mean_Late_vs_Early_log2FC,average_fold_change_ratio,average_two_fold_pass,positive_contrasts,negative_contrasts,trajectory_direction,all_six_same_direction,joint_selected,post_selected,absolute_average_post_log2FC,post_rank,expression_filter_pass
ENSMUSG00000040152,Thbs1,16.6075881257418,5126.19021228314,0.00000000000000000000000000000000000000000000000000000000000000000000000000255817885470603,0.0000000000000000000000000000000000000000000000000000000000000000000000412966812515195,1.58957862629874,154.981022939852,0.000000000000000000000000000000000000000000000000000000000000000000000000000650491439498458,0.0000000000000000000000000000000000000000000000000000000000000000000000105008833078236,1.85957495127086,2.74492599427389,1.08445749478437,1.79431228021031,0.703665167797421,1.35053586945557,1.21589920461755,1.96325804797992,3.00961433636214,TRUE,6,0,higher,TRUE,TRUE,TRUE,1.58957862629874,1,TRUE
ENSMUSG00000027559,Car3,10.312271966208,3110.25479572533,0.00000000000000000000000000000000000000000000000000000000000000000000327665131059285,0.0000000000000000000000000000000000000000000000000000000000000000176316607023001,3.25565199422609,122.134795998378,0.000000000000000000000000000000000000000000000000000000000000000000000430020335697886,0.00000000000000000000000000000000000000000000000000000000000000000347090913958549,2.22061414884279,3.5565958010945,2.46056746563927,4.55168984669262,2.34704185567867,4.39740284740865,2.34274115672024,4.16856283173193,9.55100133360215,TRUE,6,0,higher,TRUE,TRUE,TRUE,3.25565199422609,2,TRUE
ENSMUSG00000021803,Cdhr1,9.52122722440659,2378.56599076103,0.00000000000000000000000000000000000000000000000000000000000000000616621954099607,0.0000000000000000000000000000000000000000000000000000000000000199082564100599,3.64168206173403,111.111022828515,0.000000000000000000000000000000000000000000000000000000000000000000087592444255365,0.000000000000000000000000000000000000000000000000000000000000000471334942538119,3.16476032850896,3.94271140794273,3.85538539325056,4.91879892442603,1.84283407796545,4.12560223831045,2.95432659990832,4.32903752355974,12.4811768027343,TRUE,6,0,higher,TRUE,TRUE,TRUE,3.64168206173403,3,TRUE
ENSMUSG00000047139,Cd24a,9.27594977798558,2328.74479387886,0.0000000000000000000000000000000000000000000000000000000000000000111769267696567,0.0000000000000000000000000000000000000000000000000000000000000300715214737613,3.88622204708571,109.509360873761,0.000000000000000000000000000000000000000000000000000000000000000000198023997410734,0.000000000000000000000000000000000000000000000000000000000000000799175347550371,3.49430000413604,4.93517117962493,3.8003326291217,5.32397008936197,1.94914997186743,3.81440840840219,3.08126086837506,4.69118322579636,14.7866368146836,TRUE,6,0,higher,TRUE,TRUE,TRUE,3.88622204708571,4,TRUE
ENSMUSG00000026185,Igfbp5,14.5819374603816,3457.14009184099,0.000000000000000000000000000000000000000000000000000000000000000000000167356673859911,0.00000000000000000000000000000000000000000000000000000000000000000135081939306027,-1.42083232551627,-108.00089452521,0.000000000000000000000000000000000000000000000000000000000000000000431600703746429,0.00000000000000000000000000000000000000000000000000000000000000139346603211572,-1.40420253616424,-2.69578258325799,-0.564091112968253,-2.14849681743941,-0.320446854043574,-1.39197404922413,-0.76291350105869,-2.07875114997384,0.37349677070653,TRUE,0,6,lower,TRUE,TRUE,TRUE,1.42083232551627,5,TRUE
ENSMUSG00000001119,Col6a1,13.2133128415169,2161.00496235974,0.0000000000000000000000000000000000000000000000000000000000000000912700932577603,0.000000000000000000000000000000000000000000000000000000000000210481873637146,1.65755521472228,107.274668013822,0.000000000000000000000000000000000000000000000000000000000000000000630456506466035,0.00000000000000000000000000000000000000000000000000000000000000169624323064687,1.50666347736357,2.04712519707844,1.40638593769377,1.90517220570987,1.0888149019259,1.99116956856214,1.33395477232775,1.98115565711682,3.15481457888656,TRUE,6,0,higher,TRUE,TRUE,TRUE,1.65755521472228,6,TRUE
ENSMUSG00000029661,Col1a2,15.2490889260341,2380.55341914637,0.00000000000000000000000000000000000000000000000000000000000000000602319634571198,0.0000000000000000000000000000000000000000000000000000000000000199082564100599,1.1531455039159,105.737117641157,0.00000000000000000000000000000000000000000000000000000000000000000141826405678127,0.00000000000000000000000000000000000000000000000000000000000000327071952408859,0.774173061603523,1.3335767015058,0.92699353123392,1.46644644228211,0.747193509326015,1.67048977754401,0.816120034054486,1.49017097377731,2.22398260488822,TRUE,6,0,higher,TRUE,TRUE,TRUE,1.1531455039159,7,TRUE
ENSMUSG00000026042,Col5a2,14.89513654548,2090.88707491793,0.000000000000000000000000000000000000000000000000000000000000000230482653273943,0.000000000000000000000000000000000000000000000000000000000000465085183975158,1.14303039925605,104.73366394322,0.00000000000000000000000000000000000000000000000000000000000000000242267121139244,0.00000000000000000000000000000000000000000000000000000000000000488864767068851,0.991501764855485,1.54446718309558,0.891404039068142,1.32695506886357,0.81631128286273,1.28754305679078,0.899739028928786,1.38632176958331,2.20844422831456,TRUE,6,0,higher,TRUE,TRUE,TRUE,1.14303039925605,8,TRUE
ENSMUSG00000032332,Col12a1,14.6154464681241,4571.65081635726,0.00000000000000000000000000000000000000000000000000000000000000197243160767043,0.00000000000000000000000000000000000000000000000000000000000328730459935008,2.38796824767989,153.984199325342,0.0000000000000000000000000000000000000000000000000000000000000000224586527263924,0.0000000000000000000000000000000000000000000000000000000000000402833367735725,2.17013022983182,3.02300872120773,1.97921767998102,3.15866320701822,1.4610783926976,2.53571125534298,1.87014210083681,2.90579439452298,5.23419708494558,TRUE,6,0,higher,TRUE,TRUE,TRUE,2.38796824767989,9,TRUE
ENSMUSG00000031596,Slc7a2,10.5449058148824,1799.81941734857,0.0000000000000000000000000000000000000000000000000000000000000154926647359917,0.0000000000000000000000000000000000000000000000000000000000227361897121013,2.23338944286155,94.9807446690835,0.000000000000000000000000000000000000000000000000000000000000000584314925162155,0.000000000000000000000000000000000000000000000000000000000000943259583689267,2.19242833967663,3.19372279577284,1.46370724135752,2.734305858544,1.44240099682825,2.37377142499006,1.6995121926208,2.7672666931023,4.70237450708583,TRUE,6,0,higher,TRUE,TRUE,TRUE,2.23338944286155,10,TRUE
